Thu. Mar. 19, 2015             LANDSAT 5                 Time: 16:00
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L15071890            Path/Row: 122 / 044

L0R Reference Image: L51BKT1088329020100_HDF.150781832
Acquisition Date: Nov 24, 1988

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
122   044   09-14-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220440007_01   23.053571  113.930940     0.780       0.351     1.217     0.184     1.255
1220440012_01   22.864812  113.154477    -3.113       1.620     0.986     1.466     1.200
1220440017_01   23.342329  112.742602    11.885      -4.833     1.212    -4.963     0.537
1220440020_01   22.928494  113.050204    -3.556      -1.274     0.547    -1.342     0.366
1220440022_01   23.434023  113.884695     9.000      -6.168     5.272    -6.836     4.379
1220440023_01   23.343073  113.839033     1.476      -0.351     1.817    -0.595     1.753
1220440024_01   23.089259  113.658639    -2.023      -3.044     3.028    -3.433     2.582
1220440029_01   23.297908  113.116233     4.010      -2.377     0.109    -2.374    -0.219
1220440030_01   23.092539  113.704659    -0.325      -0.560    -0.799    -0.443    -0.869
1220440034_01   23.115203  113.661784     1.295      -0.754    -0.199    -0.719    -0.301
1220440035_01   23.160367  113.171482    -5.000       2.590     0.821     2.450     1.169
1220440037_01   23.249915  114.097538    24.938      -2.349     5.984    -3.147     5.610
1220440038_01   23.034529  113.723980    -2.337      -6.628    -2.042    -6.286    -2.938
1220440043_01   22.731496  113.117340    -3.028      -1.241    -1.402    -1.039    -1.560
1220440044_01   22.248700  114.142214    15.772      -1.499     6.434    -2.370     6.171
1220440048_01   23.497071  114.056913    22.220      -0.408    -2.578    -0.046    -2.611
1220440055_01   22.541592  112.783420     3.881       1.699    -4.703     2.328    -4.424
1220440057_01   22.899188  112.633953    50.500       6.501     5.019     5.738     5.866
1220440058_01   23.751173  113.333582    10.042      -5.454    -1.248    -5.237    -1.984
1220440060_01   22.854818  112.941823    -0.852       1.168    -0.678     1.245    -0.511
1220440063_01   23.025697  113.654171    -5.837       3.595     3.106     3.136     3.575
