==============================================================================
==============================================================================
Thu. Mar. 19 2015                  LANDSAT 5                       Time: 21:10
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601503185219_00001                          Path / Row - 122 / 44
Reference Image: L51BKT1088329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 99.0%
Rank   2 --  1.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1220440333   23.93583    113.38904    -0.08     -0.00     0.08     1 
1220440334   23.93537    113.41879     0.26     -0.25     0.36     1 
1220440406   23.91211    113.32910    -0.01     -0.27     0.27     1 
1220440418   23.90629    113.68599    -0.10     -0.04     0.11     1 
1220440420   23.90524    113.74546    -0.06     -0.12     0.14     1 
1220440421   23.90470    113.77519     0.29     -0.03     0.29     1 
1220440422   23.90416    113.80492     0.18     -0.17     0.25     1 
1220440472   23.89129    113.06097     0.20     -0.01     0.20     1 
1220440474   23.89048    113.12046    -0.09     -0.07     0.11     1 
1220440475   23.89007    113.15021    -0.02     -0.09     0.09     1 
1220440493   23.88165    113.68548     0.03     -0.11     0.12     1 
1220440494   23.88113    113.71521    -0.04      0.01     0.04     1 
1220440495   23.88060    113.74494    -0.11      0.00     0.11     1 
1220440496   23.88007    113.77467     0.09     -0.07     0.12     1 
1220440498   23.87899    113.83412    -0.04      0.01     0.04     1 
1220440499   23.87844    113.86385     0.03     -0.06     0.07     1 
1220440500   23.87788    113.89357    -0.14     -0.01     0.15     1 
1220440501   23.87732    113.92329    -0.02     -0.13     0.14     1 
1220440502   23.87675    113.95302    -0.10     -0.20     0.22     1 
1220440503   23.87618    113.98274    -0.21     -0.28     0.35     1 
1220440504   23.87560    114.01246    -0.11     -0.11     0.16     1 
1220440544   23.86782    112.97136    -0.03      0.08     0.08     1 
1220440546   23.86705    113.03084     0.04     -0.05     0.06     1 
1220440547   23.86665    113.06058    -0.03      0.01     0.03     1 
1220440548   23.86625    113.09032    -0.23     -0.10     0.25     1 
1220440549   23.86584    113.12006    -0.13     -0.10     0.16     1 
1220440550   23.86543    113.14980    -0.11     -0.16     0.20     1 
1220440551   23.86501    113.17954    -0.12     -0.19     0.22     1 
1220440560   23.86099    113.44715    -0.21      0.12     0.24     1 
1220440561   23.86051    113.47688    -0.06      0.04     0.07     1 
1220440567   23.85754    113.65525    -0.09     -0.10     0.14     1 
1220440568   23.85702    113.68497    -0.15     -0.11     0.18     1 
1220440569   23.85650    113.71470    -0.03      0.01     0.03     1 
1220440570   23.85598    113.74442    -0.06     -0.11     0.13     1 
1220440571   23.85544    113.77414    -0.04     -0.02     0.04     1 
1220440572   23.85490    113.80386    -0.18     -0.00     0.18     1 
1220440573   23.85436    113.83358     0.03     -0.06     0.07     1 
1220440574   23.85381    113.86330    -0.12     -0.11     0.17     1 
1220440575   23.85325    113.89302    -0.09     -0.04     0.10     1 
1220440576   23.85269    113.92274    -0.11     -0.06     0.12     1 
1220440577   23.85213    113.95246    -0.06      0.00     0.06     1 
1220440578   23.85155    113.98217    -0.07      0.01     0.07     1 
1220440579   23.85097    114.01189    -0.24     -0.02     0.25     1 
1220440580   23.85039    114.04160    -0.12     -0.23     0.26     1 
1220440581   23.84980    114.07132    -0.19     -0.08     0.21     1 
1220440582   23.84920    114.10103    -0.22     -0.02     0.22     1 
1220440585   23.84738    114.19016     0.02     -0.08     0.09     1 
1220440586   23.84676    114.21987     0.22     -0.13     0.26     1 
1220440620   23.84279    113.00072    -0.24     -0.05     0.25     1 
1220440621   23.84240    113.03046    -0.22      0.00     0.22     1 
1220440622   23.84201    113.06019    -0.28     -0.09     0.29     1 
1220440623   23.84161    113.08993    -0.09     -0.07     0.12     1 
1220440624   23.84120    113.11966    -0.23     -0.04     0.23     1 
1220440626   23.84037    113.17912    -0.08     -0.17     0.19     1 
1220440627   23.83995    113.20886    -0.19      0.01     0.19     1 
