Tue. May. 21, 2013             LANDSAT 5                 Time: 03:28
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7295487            Path/Row: 122 / 044

L0R Reference Image: L51BKT1009306020100_HDF.131410820
Acquisition Date: Nov 02, 2009

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
122   044   2000-09-14


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220440008   23.915725  113.268477    32.429      -0.682    -4.018    -0.123    -4.075
1220440011   23.877115  113.241885    33.488      -2.739     0.283    -2.752    -0.096
1220440013   23.827127  113.252507    20.985      -4.068    -3.607    -3.534    -4.133
1220440014   22.880066  113.284217    -4.119       2.006    -2.707     2.363    -2.404
1220440015   22.765039  112.556392    34.016       1.766     0.505     1.680     0.745
1220440018   23.417559  112.866876    15.609       1.451    -3.191     1.879    -2.961
1220440020   22.928494  113.050204    -3.556      -1.816    -0.927    -1.670    -1.170
1220440024   23.089259  113.658639    -2.023      -2.847     0.835    -2.937     0.433
1220440025   22.744653  113.500090    -8.179      -1.273     3.341    -1.725     3.134
1220440029   23.297908  113.116233     4.010       0.349     4.682    -0.301     4.687
1220440030   23.092539  113.704659    -0.325      -2.780    -0.555    -2.679    -0.935
1220440032   23.181199  112.785635    -0.209      -2.856     4.675    -3.474     4.237
1220440033   22.337697  113.562349    33.685       0.595    -5.643     1.374    -5.508
1220440035   23.160367  113.171482    -5.000      -5.774     0.945    -5.850     0.139
1220440036   22.953651  113.155005    -4.627       2.577    -0.505     2.624    -0.144
1220440038   23.034529  113.723980    -2.337      -0.379    -0.881    -0.254    -0.925
1220440040   22.957098  113.610428    -3.808      -5.515    -2.127    -5.170    -2.872
1220440041   22.374242  113.597379    -3.132       0.679    -4.329     1.274    -4.195
1220440042   23.015926  112.713795    63.000       6.194    -2.755     6.517    -1.873
1220440044   22.248700  114.142214    15.772       0.760     6.642    -0.173     6.690
1220440048   23.497071  114.056913    22.220       2.532    -1.655     2.737    -1.291
1220440049   22.834871  113.243428     3.789       1.781    -2.998     2.181    -2.724
