==============================================================================
==============================================================================
Tue. May. 21 2013                  LANDSAT 7                       Time: 08:33
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101305213086_00002                          Path / Row - 122 / 44
Reference Image: L51BKT1009306020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.8%
Rank   2 --  4.2%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1220440014   24.03368    112.85503    -0.23      0.12     0.26     1 
1220440015   24.03331    112.88569    -0.02     -0.14     0.15     1 
1220440016   24.03293    112.91636     0.07     -0.17     0.18     1 
1220440089   24.00904    112.85468     0.11      0.04     0.12     1 
1220440090   24.00867    112.88534     0.13     -0.18     0.22     1 
1220440092   24.00790    112.94666     0.00      0.03     0.03     1 
1220440093   24.00751    112.97731    -0.05      0.06     0.08     1 
1220440094   24.00711    113.00797    -0.01     -0.02     0.02     1 
1220440095   24.00670    113.03863    -0.21     -0.07     0.22     1 
1220440096   24.00629    113.06929     0.01     -0.42     0.42     1 
1220440097   24.00587    113.09994    -0.24     -0.13     0.27     1 
1220440164   23.98439    112.85432    -0.14      0.20     0.24     1 
1220440165   23.98402    112.88498     0.09      0.18     0.20     1 
1220440166   23.98364    112.91563    -0.07      0.02     0.08     1 
1220440167   23.98325    112.94629     0.03      0.18     0.18     1 
1220440168   23.98286    112.97694    -0.23     -0.17     0.29     1 
1220440169   23.98247    113.00759    -0.09     -0.04     0.10     1 
1220440170   23.98206    113.03824    -0.42      0.09     0.42     1 
1220440171   23.98165    113.06889    -0.12      0.09     0.15     1 
1220440172   23.98123    113.09954    -0.07     -0.01     0.07     1 
1220440173   23.98081    113.13019     0.27     -0.13     0.30     1 
1220440174   23.98038    113.16084     0.12     -0.04     0.13     1 
1220440175   23.97995    113.19149    -0.23      0.13     0.27     1 
1220440176   23.97951    113.22214    -0.11     -0.05     0.12     1 
1220440177   23.97906    113.25278    -0.12     -0.05     0.12     1 
1220440178   23.97861    113.28343    -0.13     -0.23     0.27     1 
1220440179   23.97815    113.31408     0.15     -0.37     0.40     1 
1220440180   23.97768    113.34472     0.28     -0.20     0.35     1 
1220440240   23.95938    112.88462    -0.19     -0.24     0.31     1 
1220440241   23.95900    112.91527     0.13     -0.30     0.33     1 
1220440242   23.95861    112.94591    -0.30      0.02     0.30     1 
1220440243   23.95822    112.97656    -0.16      0.07     0.18     1 
1220440244   23.95782    113.00721    -0.06      0.04     0.07     1 
1220440245   23.95742    113.03785    -0.20      0.05     0.21     1 
1220440246   23.95701    113.06850    -0.28      0.05     0.28     1 
1220440247   23.95659    113.09914     0.03     -0.22     0.22     1 
1220440248   23.95617    113.12979    -0.11      0.04     0.11     1 
1220440249   23.95574    113.16043    -0.30      0.04     0.31     1 
1220440250   23.95531    113.19107    -0.28      0.05     0.28     1 
1220440251   23.95487    113.22172    -0.03     -0.36     0.36     1 
1220440252   23.95442    113.25236    -0.22     -0.24     0.33     1 
1220440253   23.95397    113.28300    -0.14     -0.25     0.29     1 
1220440254   23.95351    113.31364    -0.37     -0.33     0.49     1 
1220440255   23.95304    113.34427    -0.23      0.23     0.33     1 
1220440256   23.95257    113.37491    -0.10     -0.05     0.11     1 
1220440258   23.95161    113.43618    -0.15      0.06     0.17     1 
1220440260   23.95063    113.49746    -0.14      0.01     0.14     1 
1220440314   23.93510    112.85362     0.45      0.11     0.46     1 
1220440315   23.93473    112.88426    -0.14     -0.11     0.18     1 
1220440317   23.93397    112.94554     0.02     -0.38     0.38     1 
1220440318   23.93358    112.97619    -0.17      0.00     0.17     1 
1220440319   23.93318    113.00683    -0.15      0.19     0.24     1 
1220440320   23.93277    113.03747    -0.12      0.00     0.12     1 
1220440321   23.93237    113.06811    -0.01      0.12     0.12     1 
1220440322   23.93195    113.09874    -0.14      0.02     0.14     1 
1220440323   23.93153    113.12938    -0.31     -0.00     0.31     1 
